TREEID,COMMONNAME,LATINNAME,SPECIES,SPECIESCODE,SPECIESNAME,GENUS,GENUSENGLISH,LEAFCYCLE,LEAFTYPE,MATHEIGHT,MATWIDTH,FORM,FALLCOLOR,FLOWER,FRUIT,WATERNEED
920,Globosa Blue spruce,Picea pungens,pungens,PIPU,"Spruce, Blue Globosa",Picea,spruce,,,,,,,,,
921,Hoopsi Blue spruce,Picea pungens,pungens,PIPU,"Spruce, Blue Hoopsi",Picea,spruce,,,,,,,,,
922,Pendula Blue spruce,Picea pungens,pungens,PIPU,"Spruce, Blue Pendula",Picea,spruce,,,,,,,,,
923,Taylor's Sunburst Lodgepole pine,Pinus contorta,contorta,PICO,"Pine, Lodgepole Taylor's Sunburst",Pinus,pine,,,,,,,,,
924,Glauca Scotch pine,Pinus sylvestris,sylvestris,PISY,"Pine, Scotch Glauca",Pinus,pine,,,,,,,,,
925,Erecta European Aspen,Populus tremula,tremula,PO,"Aspen, European Erecta",Populus,cottonwood,,,,,,,,,
926,Newport Flowering plum,Prunus cerasifera,cerasifera,PRCE,"Plum, Flowering Newport",Prunus,plum,,,,,,,,,
927,North Star Sour cherry,Prunus cerasus,cerasus,PR,"Cherry, Sour North Star",Prunus,plum,,,,,,,,,
928,Manchurian plum,Prunus maackii,maackii,"PRMA
PRMA","Cherry, Manchurian",Prunus,plum,,,,,,,,,
929,Princess Kay Canada plum,Prunus nigra,nigra,PR,"Plum, Canada Princess Kay",Prunus,plum,,,,,,,,,
930,Autumn Blaze Flowering pear,Pyrus calleryana,calleryana,PYCA,"Pear, Callery Autumn Blaze",Pyrus,pear,,,,,,,,,
931,Redspire Flowering pear,Pyrus calleryana,calleryana,PYCA,"Pear, Callery Redspire",Pyrus,pear,,,,,,,,,
933,Regent Japanese pagoda tree,Styphnolobium japonicum,japonicum,SOJA,"Pagoda tree, Japanese Regent",Styphnolobium,pagoda tree,,,,,,,,,
934,Green Giant Western redcedar,Thuja plicata,plicata,THPL,"Redcedar, Western Green Giant",Thuja,redcedar,,,,,,,,,
935,American Sentry American linden,Tilia americana,americana,TIAM,"Linden, American Sentry",Tilia,linden,,,,,,,,,
936,Redmond American linden,Tilia americana,americana,TIAM,"Linden, American Redmond",Tilia,linden,,,,,,,,,
937,Corinthian Littleleaf linden,Tilia cordata,cordata,TICO,"Linden, Littleleaf Corinthian",Tilia,linden,,,,,,,,,
938,Greenspire Littleleaf linden,Tilia cordata,cordata,TICOG,"Linden, Littleleaf Greenspire",Tilia,linden,,,,,,,,,
939,Sterling Silver linden,Tilia tomentosa,tomentosa,TITO,"Linden, Silver Sterling Silver",Tilia,linden,,,,,,,,,
940,Choice City David elm,Ulmus davidiana,davidiana,ULDA,"Elm, David Choice City",Ulmus,elm,,,,,,,,,
941,Allee Lacebark elm,Ulmus parvifolia,parvifolia,ULPA,"Elm, Lacebark Allee",Ulmus,elm,,,,,,,,,
942,Frontier Hybrid elm,Ulmus x hybrida,x hybrida,ULAM,"Elm, Hybrid Frontier",Ulmus,elm,,,,,,,,,
943,Wilsoniana Prospector Hybrid elm,Ulmus x hybrida,x hybrida,ULAM,"Elm, Hybrid Wilsoniana Prospector",Ulmus,elm,,,,,,,,,
944,Triumph Hybrid elm,Ulmus x hybrida,x hybrida,ULAM,"Elm, Hybrid Triumph",Ulmus,elm,,,,,,,,,
