TREEID,COMMONNAME,LATINNAME,SPECIES,SPECIESCODE,SPECIESNAME,GENUS,GENUSENGLISH,LEAFCYCLE,LEAFTYPE,MATHEIGHT,MATWIDTH,FORM,FALLCOLOR,FLOWER,FRUIT,WATERNEED
101,Amur maackia,Maackia amurensis,amurensis,MAAM9,"Maackia, Amur",Maackia,maackia,Deciduous,Broadleaved,20-30,20-30,rounded,yellow,white,seed pod,low to medium
102,magnolia unknown species,Magnolia spp,spp,MA1,Magnolia unknown species,Magnolia,magnolia,Deciduous,Broadleaved,,,,,,,
103,Star magnolia,Magnolia stellata,stellata,MAST,"Magnolia, Star",Magnolia,magnolia,Deciduous,Broadleaved,,,,,,,
104,Saucer magnolia,Magnolia x soulangiana,x soulangiana,MASO,"Magnolia, Saucer",Magnolia,magnolia,Deciduous,Broadleaved,20-25,20-25,rounded,bronze,white to purple,seed cluster,medium
105,Prairie crabapple,Malus ioensis,ioensis,PYIO,"Crabapple, Prairie",Malus,apple or crabapple,Deciduous,Broadleaved,,,,,,,
106,Wild apple,Malus pumila,pumila,MAPU,"Apple, Wild",Malus,apple or crabapple,Deciduous,Broadleaved,,,,,,,
107,apple unknown species,Malus spp,spp,MA2,Apple unknown species,Malus,apple or crabapple,Deciduous,Broadleaved,,,,,,,
108,crabapple unknown species,Malus spp,spp,MA2,Crabapple unknown species,Malus,apple or crabapple,Deciduous,Broadleaved,,,,,,,
109,Flowering crabapple,Malus sylvestris,sylvestris,MASY2,"Crabapple, Flowering",Malus,apple or crabapple,Deciduous,Broadleaved,10-25,10-20,rounded,yellow,white to pink,pome,low to medium
110,Chonosuki Flowering crabapple,Malus tschonoskii,tschonoskii,MATS,"Crabapple, Chonosuki",Malus,apple or crabapple,Deciduous,Broadleaved,,,,,,,
111,White mulberry,Morus alba,alba,MOAL,"Mulberry, White",Morus,mulberry,Deciduous,Broadleaved,30-50,30-50,rounded,bronze,,fruitless,medium
112,Weeping mulberry,Morus alba,alba,MOAL,"Mulberry, White Pendula",Morus,mulberry,Deciduous,Broadleaved,,,,,,,
113,Red mulberry,Morus rubra,rubra,MORU,"Mulberry, Red",Morus,mulberry,Deciduous,Broadleaved,,,,,,,
114,mulberry unknown species,Morus spp,spp,MO,Mulberry unknown species,Morus,mulberry,Deciduous,Broadleaved,,,,,,,
115,Norway spruce,Picea abies,abies,PIAB,"Spruce, Norway",Picea,spruce,Evergreen,Needleleaved,,,,,,,
116,Engelmann spruce,Picea engelmannii,engelmannii,PIEN,"Spruce, Engelmann",Picea,spruce,Evergreen,Needleleaved,,,,,,,
117,White spruce,Picea glauca,glauca,PIGL1,"Spruce, White",Picea,spruce,Evergreen,Needleleaved,20-40,,,,,,medium to high
118,Serbian spruce,Picea omorika,omorika,PIOM,"Spruce, Serbian",Picea,spruce,Evergreen,Needleleaved,,,,,,,
119,Blue spruce,Picea pungens,pungens,PIPU,"Spruce, Blue",Picea,spruce,Evergreen,Needleleaved,30-60,,,,,,medium to high
120,spruce unknown species,Picea spp,spp,PI1,Spruce unknown species,Picea,spruce,Evergreen,Needleleaved,,,,,,,
121,Bristlecone pine,Pinus aristata,aristata,PIAR,"Pine, Bristlecone",Pinus,pine,Evergreen,Needleleaved,8-20,,,,,,low to medium
122,Lodgepole pine,Pinus contorta,contorta,PICO,"Pine, Lodgepole",Pinus,pine,Evergreen,Needleleaved,,,,,,,
123,Japanese Umbrella pine,Pinus densiflora,densiflora,PIDE,"Pine, Japanese Red Umbraculifera",Pinus,pine,Evergreen,Needleleaved,,,,,,,
124,Pinyon pine,Pinus edulis,edulis,PIED,"Pine, Pinyon",Pinus,pine,Evergreen,Needleleaved,20-50,,,,,,low to medium
125,Afghan pine,Pinus eldarica,eldarica,PIEL2,"Pine, Afghan",Pinus,pine,Evergreen,Needleleaved,,,,,,,
126,Limber pine,Pinus flexilis,flexilis,PIFL,"Pine, Limber",Pinus,pine,Evergreen,Needleleaved,40-60,,,,,,low to medium
127,Bosnian pine,Pinus heldreichii,heldreichii,PIHE,"Pine, Bosnian",Pinus,pine,Evergreen,Needleleaved,,,,,,,
128,Western White pine,Pinus monticola,monticola,PIMO3,"Pine, Western White",Pinus,pine,Evergreen,Needleleaved,,,,,,,
129,Mugo pine,Pinus mugo,mugo,PIMU,"Pine, Mugo",Pinus,pine,Evergreen,Needleleaved,,,,,,,
130,Austrian pine,Pinus nigra,nigra,PINI,"Pine, Austrian",Pinus,pine,Evergreen,Needleleaved,20-60,,,,,,medium
131,Ponderosa pine,Pinus ponderosa,ponderosa,PIPO,"Pine, Ponderosa",Pinus,pine,Evergreen,Needleleaved,60-125,,,,,,low to medium
132,pine unknown species,Pinus spp,spp,PI2,Pine unknown species,Pinus,pine,Evergreen,Needleleaved,,,,,,,
133,Southwestern White pine,Pinus strobiformis,strobiformis,PIST2,"Pine, Southwestern White",Pinus,pine,Evergreen,Needleleaved,35-50,,,,,,low to medium
134,Eastern White pine,Pinus strobus,strobus,PIST,"Pine, Eastern White",Pinus,pine,Evergreen,Needleleaved,50-80,,,,,,medium
135,Scotch pine,Pinus sylvestris,sylvestris,PISY,"Pine, Scotch",Pinus,pine,Evergreen,Needleleaved,30-60,,,,,,medium
136,Japanese Black pine,Pinus thunbergiana,thunbergiana,PITH,"Pine, Japanese Black",Pinus,pine,Evergreen,Needleleaved,,,,,,,
137,Bhutan pine,Pinus wallichiana,wallichiana,PIWA1,"Pine, Bhutan",Pinus,pine,Evergreen,Needleleaved,,,,,,,
138,American sycamore,Platanus occidentalis,occidentalis,PLOC,"Sycamore, American",Platanus,planetree,Deciduous,Broadleaved,,,,,,,
139,Oriental planetree,Platanus orientalis,orientalis,PLOR,"Planetree, Oriental",Platanus,planetree,Deciduous,Broadleaved,,,,,,,
140,London planetree,Platanus x acerifolia,x acerifolia,PLAC1,"Planetree, London",Platanus,planetree,Deciduous,Broadleaved,60-70,30-60,rounded,bronze,,seed ball,medium to high
141,Oriental arborvitae,Platycladus orientalis,orientalis,THOR,"Arborvitae, Oriental",Platycladus,arborvitae,Evergreen,Needleleaved,,,,,,,
142,White poplar,Populus alba,alba,POAL,"Poplar, White",Populus,cottonwood,Deciduous,Broadleaved,,,,,,,
143,Bolleana poplar,Populus alba,alba,POALPY,"Poplar, White Bolleana Pyramidalis",Populus,cottonwood,Deciduous,Broadleaved,,,,,,,
144,Narrowleaf cottonwood,Populus angustifolia,angustifolia,POAN,"Cottonwood, Narrowleaf",Populus,cottonwood,Deciduous,Broadleaved,,,,,,,
145,Eastern cottonwood,Populus deltoides,deltoides,PODE,"Cottonwood, Eastern",Populus,cottonwood,Deciduous,Broadleaved,,,,,,,
146,Fremont cottonwood,Populus fremontii,fremontii,POFR,"Cottonwood, Fremont",Populus,cottonwood,Deciduous,Broadleaved,,,,,,,
147,Lombardy poplar,Populus nigra,nigra,PONI,"Poplar, Lombardy",Populus,cottonwood,Deciduous,Broadleaved,,,,,,,
148,Plains cottonwood,Populus deltoides,deltoides,POSA,"Cottonwood, Plains Monilifera",Populus,cottonwood,Deciduous,Broadleaved,,,,,,,
149,cottonwood unknown species,Populus spp,spp,PO,Cottonwood unknown species,Populus,cottonwood,Deciduous,Broadleaved,,,,,,,
150,Quaking aspen,Populus tremuloides,tremuloides,POTR1,"Aspen, Quaking",Populus,cottonwood,Deciduous,Broadleaved,,,,,,,
151,Lanceleaf cottonwood,Populus x acuminata,x acuminata,POAC5,"Cottonwood, Lanceleaf",Populus,cottonwood,Deciduous,Broadleaved,,,,,,,
152,mesquite unknown species,Prosopis spp,spp,PR6,Mesquite unknown species,Prosopis,mesquite,Deciduous,Broadleaved,,,,,,,
153,American plum,Prunus americana,americana,PRAM,"Plum, American",Prunus,plum,Deciduous,Broadleaved,,,,,,,
154,Apricot,Prunus armeniaca,armeniaca,PRAR,Apricot,Prunus,plum,Deciduous,Broadleaved,,,,,,,
155,Sweet cherry,Prunus avium,avium,PRAV,"Cherry, Sweet",Prunus,plum,Deciduous,Broadleaved,,,,,,,
156,Flowering plum,Prunus cerasifera,cerasifera,PRCE,"Plum, Flowering",Prunus,plum,Deciduous,Broadleaved,,,,,,,
157,European plum,Prunus domestica,domestica,PRDO,"Plum, European",Prunus,plum,Deciduous,Broadleaved,,,,,,,
158,Peach,Prunus persica,persica,PRPE2,Peach,Prunus,plum,Deciduous,Broadleaved,,,,,,,
159,Sand cherry,Prunus pumila,pumila,PRPU1,"Cherry, Sand",Prunus,plum,Deciduous,Broadleaved,,,,,,,
160,Sargent cherry,Prunus sargentii,sargentii,PRSA,"Cherry, Sargent",Prunus,plum,Deciduous,Broadleaved,,,,,,,
161,Black cherry,Prunus serotina,serotina,PRSE1,"Cherry, Black",Prunus,plum,Deciduous,Broadleaved,,,,,,,
162,Kwanzan cherry,Prunus serrulata,serrulata,PRSE2,"Cherry, Kwanzan",Prunus,plum,Deciduous,Broadleaved,,,,,,,
163,plum unknown species,Prunus spp,spp,PR,Plum unknown species,Prunus,plum,Deciduous,Broadleaved,,,,,,,
164,Chokecherry,Prunus virginiana,virginiana,PRVI,Chokecherry,Prunus,plum,Deciduous,Broadleaved,,,,,,,
165,Canada Red chokecherry,Prunus virginiana,virginiana,PRVI,"Chokecherry, Canada Red",Prunus,plum,Deciduous,Broadleaved,20-30,10-15,rounded,yellow,white,berry,medium
166,Yoshino Flowering cherry,Prunus yedoensis,yedoensis,PRYE,"Cherry, Yoshino Flowering",Prunus,plum,Deciduous,Broadleaved,,,,,,,
167,Douglas-fir,Pseudotsuga menziesii,menziesii,PSME,Douglas-fir,Pseudotsuga,Douglas-fir,Evergreen,Needleleaved,40-80,,,,,,medium
168,Common hoptree,Ptelea trifoliata,trifoliata,PTTR,"Hoptree, Common",Ptelea,hoptree,Deciduous,Broadleaved,,,,,,,
169,Flowering pear,Pyrus calleryana,calleryana,PYCA,"Pear, Flowering",Pyrus,pear,Deciduous,Broadleaved,30-40,15-28,oval,red,white,pome,low to medium
170,Fruiting pear,Pyrus communis,communis,PYCO,"Pear, Fruiting",Pyrus,pear,Deciduous,Broadleaved,,,,,,,
171,pear unknown species,Pyrus spp,spp,PY,Pear unknown species,Pyrus,pear,Deciduous,Broadleaved,,,,,,,
172,Ussurian pear,Pyrus ussuriensis,ussuriensis,PYUS,"Pear, Ussurian",Pyrus,pear,Deciduous,Broadleaved,,,,,,,
173,Sawtooth oak,Quercus acutissima,acutissima,QUAC,"Oak, Sawtooth",Quercus,oak,Deciduous,Broadleaved,,,,,,,
174,White oak,Quercus alba,alba,QUAL,"Oak, White",Quercus,oak,Deciduous,Broadleaved,50-70,50-70,rounded,red,,acorn,low to medium
175,Swamp White oak,Quercus bicolor,bicolor,QUBI,"Oak, Swamp White",Quercus,oak,Deciduous,Broadleaved,50-60,50-60,rounded,"bronze, orange",,acorn,medium
176,Scarlet oak,Quercus coccinea,coccinea,QUCO,"Oak, Scarlet",Quercus,oak,Deciduous,Broadleaved,,,,,,,
177,Northern Pin oak,Quercus ellipsoidalis,ellipsoidalis,QUEL,"Oak, Northern Pin",Quercus,oak,Deciduous,Broadleaved,,,,,,,
178,Gambel oak,Quercus gambelii,gambelii,QUGA,"Oak, Gamble",Quercus,oak,Deciduous,Broadleaved,20-25,20-30,"rounded, irregular",bronze,,acorn,low
179,Shingle oak,Quercus imbricaria,imbricaria,QUIM,"Oak, Shingle",Quercus,oak,Deciduous,Broadleaved,40-50,40-50,oval,"bronze, red",,acorn,medium
180,Overcup oak,Quercus lyrata,lyrata,QULY,"Oak, Overcup",Quercus,oak,Deciduous,Broadleaved,,,,,,,
181,Bur oak,Quercus macrocarpa,macrocarpa,QUMA1,"Oak, Bur",Quercus,oak,Deciduous,Broadleaved,60-80,60-80,rounded,bronze,,acorn,low to medium
182,Chinkapin oak,Quercus muehlenbergii,muehlenbergii,QUMU,"Oak, Chinkapin",Quercus,oak,Deciduous,Broadleaved,40-60,50-60,rounded,bronze,,acorn,low to medium
183,Pin oak,Quercus palustris,palustris,QUPA,"Oak, Pin",Quercus,oak,Deciduous,Broadleaved,,,,,,,
184,Willow oak,Quercus phellos,phellos,QUPH,"Oak, Willow",Quercus,oak,Deciduous,Broadleaved,,,,,,,
185,Chestnut oak,Quercus prinus,prinus,QUPR,"Oak, Chestnut",Quercus,oak,Deciduous,Broadleaved,,,,,,,
186,English oak,Quercus robur,robur,QURO,"Oak, English",Quercus,oak,Deciduous,Broadleaved,50-70,50-70,rounded,bronze,,acorn,low to medium
187,Columnar English oak,Quercus robur,robur,QUROFA,"Oak, English Columnar Fastigiata",Quercus,oak,Deciduous,Broadleaved,,,,,,,
188,Northern Red oak,Quercus rubra,rubra,QURU,"Oak, Northern Red",Quercus,oak,Deciduous,Broadleaved,,,,,,,
189,Shumard oak,Quercus shumardii,shumardii,QUSH,"Oak, Shumard",Quercus,oak,Deciduous,Broadleaved,,,,,,,
190,oak unknown species,Quercus spp,spp,QU,Oak unknown species,Quercus,oak,Deciduous,Broadleaved,,,,,,,
191,Wavy Leaf oak,Quercus undulata,undulata,QUGA,"Oak, Wavy Leaf",Quercus,oak,Deciduous,Broadleaved,,,,,,,
192,Colorado Foothills oak,Quercus x mazei,x mazei,QUGA,"Oak, Colorado Foothills",Quercus,oak,Deciduous,Broadleaved,,,,,,,
193,European buckthorn,Rhamnus cathartica,cathartica,RHCA,"Buckthorn, European",Rhamnus,buckthorn,Deciduous,Broadleaved,,,,,,,
194,buckthorn unknown species,Rhamnus spp,spp,RHSP2,Buckthorn unknown species,Rhamnus,buckthorn,Deciduous,Broadleaved,,,,,,,
195,sumac unknown species,Rhus spp,spp,RHSP,Sumac unknown species,Rhus,sumac,Deciduous,Broadleaved,,,,,,,
196,Staghorn sumac,Rhus typhina,typhina,RHTY,"Sumac, Staghorn",Rhus,sumac,Deciduous,Broadleaved,,,,,,,
197,New Mexico locust,Robinia neomexicana,neomexicana,RONE,"Locust, New Mexico",Robinia,locust,Deciduous,Broadleaved,,,,,,,
198,Black locust,Robinia pseudoacacia,pseudoacacia,ROPS,"Locust, Black",Robinia,locust,Deciduous,Broadleaved,,,,,,,
199,White willow,Salix alba,alba,SAAL4,"Willow, White",Salix,willow,Deciduous,Broadleaved,,,,,,,
200,Peachleaf willow,Salix amygdaloides,amygdaloides,SAAM,"Willow, Peachleaf",Salix,willow,Deciduous,Broadleaved,,,,,,,
201,Weeping willow,Salix babylonica,babylonica,SABA1,"Willow, Weeping",Salix,willow,Deciduous,Broadleaved,,,,,,,
202,Pussy willow,Salix discolor,discolor,SADI,"Willow, Pussy",Salix,willow,Deciduous,Broadleaved,,,,,,,
203,Crack willow,Salix fragilis,fragilis,SAFR,"Willow, Crack",Salix,willow,Deciduous,Broadleaved,,,,,,,
204,Corkscrew willow,Salix matsudana,matsudana,SAMA,"Willow, Corkscrew",Salix,willow,Deciduous,Broadleaved,,,,,,,
205,Black willow,Salix nigra,nigra,SANI,"Willow, Black",Salix,willow,Deciduous,Broadleaved,,,,,,,
206,willow unknown species,Salix spp,spp,SA,Willow unknown species,Salix,willow,Deciduous,Broadleaved,,,,,,,
207,Giant sequoia,Sequoiadendron giganteum,giganteum,SEGI,"Sequoia, Giant",Sequoiadendron,sequoia,Evergreen,Needleleaved,60-200,,,,,,medium to high
208,Japanese pagoda tree,Styphnolobium japonicum,japonicum,SOJA,"Pagoda tree, Japanese",Styphnolobium,pagoda tree,Deciduous,Broadleaved,30-50,35-50,rounded,yellow,white,seed pod,medium
209,European mountain ash,Sorbus aucuparia,aucuparia,SOAU,"Mountain ash, European",Sorbus,mountain ash,Deciduous,Broadleaved,,,,,,,
210,mountain ash unknown species,Sorbus spp,spp,SO,Mountain ash unknown species,Sorbus,mountain ash,Deciduous,Broadleaved,,,,,,,
211,Peking lilac tree,Syringa pekinensis,pekinensis,SYRE,"Lilac tree, Peking",Syringa,lilac,Deciduous,Broadleaved,,,,,,,
212,Japanese lilac tree,Syringa reticulata,reticulata,SYRE,"Lilac tree, Japanese",Syringa,lilac,Deciduous,Broadleaved,20-25,15-20,oval,yellow,white clusters,seed capsule,low to medium
213,lilac unknown species,Syringa spp,spp,SYSP,Lilac unknown species,Syringa,lilac,Deciduous,Broadleaved,,,,,,,
214,Baldcypress,Taxodium distichum,distichum,TADI,Baldcypress,Taxodium,Baldcypress,Evergreen,Needleleaved,50-70,,,,,,medium to high
215,Yew,Taxus baccata,baccata,TABA,Yew,Taxus,yew,Evergreen,Needleleaved,,,,,,,
216,yew unknown species,Taxus spp,spp,TA,Yew unknown species,Taxus,yew,Evergreen,Needleleaved,,,,,,,
217,Arborvitae,Thuja occidentalis,occidentalis,THOC,Arborvitae,Thuja,redcedar,Evergreen,Needleleaved,,,,,,,
218,Western redcedar,Thuja plicata,plicata,THPL,"Redcedar, Western",Thuja,redcedar,Evergreen,Needleleaved,,,,,,,
219,American linden,Tilia americana,americana,TIAM,"Linden, American",Tilia,linden,Deciduous,Broadleaved,,,,,,,
220,Littleleaf linden,Tilia cordata,cordata,TICO,"Linden, Littleleaf",Tilia,linden,Deciduous,Broadleaved,,,,,,,
221,Silver linden,Tilia tomentosa,tomentosa,TITO,"Linden, Silver",Tilia,linden,Deciduous,Broadleaved,,,,,,,
222,Eastern hemlock,Tsuga canadensis,canadensis,TSCA,"Hemlock, Eastern",Tsuga,hemlock,Evergreen,Needleleaved,,,,,,,
223,American elm,Ulmus americana,americana,ULAM,"Elm, American",Ulmus,elm,Deciduous,Broadleaved,,,,,,,
224,Augustine elm,Ulmus americana,americana,ULAM,"Elm, American Augustine",Ulmus,elm,Deciduous,Broadleaved,,,,,,,
225,David elm,Ulmus davidiana,davidiana,ULDA,"Elm, David",Ulmus,elm,Deciduous,Broadleaved,40-50,40-50,vase,yellow,,samara,low to medium
226,Wych elm,Ulmus glabra,glabra,ULGL,"Elm, Wych",Ulmus,elm,Deciduous,Broadleaved,,,,,,,
227,Camperdown elm,Ulmus glabra,glabra,ULGL,"Elm, Wych Camperdown",Ulmus,elm,Deciduous,Broadleaved,,,,,,,
228,Lacebark elm,Ulmus parvifolia,parvifolia,ULPA,"Elm, Lacebark",Ulmus,elm,Deciduous,Broadleaved,,,,,,,
229,English elm,Ulmus procera,procera,ULPR,"Elm, English",Ulmus,elm,Deciduous,Broadleaved,,,,,,,
230,Emerald Sunshine elm,Ulmus propinqua,propinqua,ULAM,"Elm, Emerald Sunshine",Ulmus,elm,Deciduous,Broadleaved,,,,,,,
231,Siberian elm,Ulmus pumila,pumila,ULPU,"Elm, Siberian",Ulmus,elm,Deciduous,Broadleaved,,,,,,,
232,elm unknown species,Ulmus spp,spp,ULS,Elm unknown species,Ulmus,elm,Deciduous,Broadleaved,,,,,,,
233,Accolade elm,Ulmus x accolade,x accolade,ULAM,"Elm, Accolade",Ulmus,elm,Deciduous,Broadleaved,50-60,25-40,vase,yellow,,samara,medium
234,Hybrid elm,Ulmus x hybrida,x hybrida,ULAM,"Elm, Hybrid",Ulmus,elm,Deciduous,Broadleaved,,,,,,,
235,viburnum unknown species,Viburnum spp,spp,VISP2,Viburnum unknown species,Viburnum,viburnum,Deciduous,Broadleaved,,,,,,,
236,Japanese zelkova,Zelkova serrata,serrata,ZESE,"Zelkova, Japanese",Zelkova,zelkova,Deciduous,Broadleaved,,,,,,,
237,Hot Wings Tatarian maple,Acer tataricum,tataricum,ACTA,"Maple, Tatarian Hot Wings",Acer,maple,Deciduous,Broadleaved,20-25,15-20,rounded,"red, yellow",white clusters,samara,low to medium
238,catalpa unknown species,Catalpa spp,spp,CA3,Catalpa unknown species,Catalpa,catalpa,Deciduous,Broadleaved,,,,,,,
239,Thornless honeylocust,Gleditsia triacanthos,triacanthos,GLTR,"Honeylocust, Thornless",Gleditsia,honeylocust,Deciduous,Broadleaved,40-50,30-40,rounded,yellow,,bean pod ,medium
240,Chanticleer Flowering pear,Pyrus calleryana,calleryana,PYCA,"Pear, Callery Chanticleer",Pyrus,pear,Deciduous,Broadleaved,30-40,15-28,oval,red,white,pome,low to medium
241,Coralburst Flowering crabapple,Malus sylvestris,sylvestris,MASY2,"Crabapple, Flowering Coralburst",Malus,apple or crabapple,Deciduous,Broadleaved,,,,,,,
242,Dolgo Flowering crabapple,Malus sylvestris,sylvestris,MASY2,"Crabapple, Flowering Dolgo",Malus,apple or crabapple,Deciduous,Broadleaved,,,,,,,
243,Prairie Fire Flowering crabapple,Malus sylvestris,sylvestris,MASY2,"Crabapple, Flowering Prairie Fire",Malus,apple or crabapple,Deciduous,Broadleaved,,,,,,,
244,Radiant Flowering crabapple,Malus sylvestris,sylvestris,MASY2,"Crabapple, Flowering Radiant",Malus,apple or crabapple,Deciduous,Broadleaved,,,,,,,
245,Spring Snow Flowering crabapple,Malus sylvestris,sylvestris,MASY2,"Crabapple, Flowering Spring Snow",Malus,apple or crabapple,Deciduous,Broadleaved,,,,,,,
246,Thunderchild Flowering crabapple,Malus sylvestris,sylvestris,MASY2,"Crabapple, Flowering Thunderchild",Malus,apple or crabapple,Deciduous,Broadleaved,,,,,,,
247,Sensation boxelder,Acer negundo,negundo,ACNE,"Boxelder, Sensation",Acer,maple,Deciduous,Broadleaved,,,,,,,
248,Shellbark hickory,Carya laciniosa,laciniosa,CALA,"Hickory, Shellbark",Carya,hickory,Deciduous,Broadleaved,,,,,,,
249,Common whitebeam,Sorbus aria,aria,SOAR,"Whitebeam, Common",Sorbus,mountain ash,Deciduous,Broadleaved,,,,,,,
250,Valley Forge American elm,Ulmus americana,americana,ULAM,"Elm, American Valley Forge",Ulmus,elm,Deciduous,Broadleaved,,,,,,,
251,Caddo Sugar maple,Acer saccharum,saccharum,ACSA2,"Maple, Sugar Caddo",Acer,maple,Deciduous,Broadleaved,40-80,30-60,rounded,orange,,samara,medium
252,Fall Fiesta Sugar maple,Acer saccharum,saccharum,ACSA2,"Maple, Sugar Fall Fiesta",Acer,maple,Deciduous,Broadleaved,40-80,30-60,rounded,orange,,samara,medium
253,Green Mountain Sugar maple,Acer saccharum,saccharum,ACSA2,"Maple, Sugar Green Mountain",Acer,maple,Deciduous,Broadleaved,40-80,30-60,rounded,orange,,samara,
254,Legacy Sugar maple,Acer saccharum,saccharum,ACSA2,"Maple, Sugar Legacy ",Acer,maple,Deciduous,Broadleaved,40-80,30-60,rounded,orange,,samara,
257,Shade Master Thornless honeylocust,Gleditsia triacanthos,triacanthos,GLTR,"Honeylocust, Thornless Shade Master",Gleditsia,honeylocust,Deciduous,Broadleaved,40-50,30-40,rounded,yellow,,seedless,medium
258,Rocky Mountain Glow Bigtooth maple,Acer grandidentatum,grandidentatum,ACGR3,"Maple, Bigtooth Rocky Mountian Glow",Acer,maple,Deciduous,Broadleaved,20-25,15-25,rounded,"orange, yellow",,samara,low to medium
259,Bloodgood London planetree,Platanus x acerifolia,x acerifolia,PLAC1,"Planetree, London Bloodgood",Platanus,planetree,Deciduous,Broadleaved,60-70,30-60,rounded,bronze,,seed ball,medium to high
260,Exclamation London planetree,Platanus x acerifolia,x acerifolia,PLAC1,"Planetree, London Exclamation",Platanus,planetree,Deciduous,Broadleaved,60-70,30-60,rounded,bronze,,seed ball,medium to high
261,Espresso Kentucky coffeetree,Gymnocladus dioicus,dioicus,GYDI,"Coffeetree, Kentucky Espresso",Gymnocladus,coffeetree,Deciduous,Broadleaved,60-80,40-45,"rounded, irregular",yellow,,bean pod,low to medium
262,Skyline Thornless honeylocust,Gleditsia triacanthos,triacanthos,GLTR,"Honeylocust, Thornless Skyline",Gleditsia,honeylocust,Deciduous,Broadleaved,40-50,30-40,rounded,yellow,,bean pod ,medium
263,Pecan,Carya illinoinensis,illinoinensis,CAIL,Pecan,Carya,hickory,Deciduous,Broadleaved,50-70,30-50,oval,yellow,,"nut, edible",medium
264,White Shield Osage orange,Maclura pomifera,pomifera,MAPO,"Osage orange, White Shield",Maclura,Osage orange,Deciduous,Broadleaved,30-45,20-40,rounded,yellow,,fruitless,low to medium
265,Cucumber magnolia,Magnolia acuminata,acuminata,MAAC,"Magnolia, Cucumber",Magnolia,magnolia,Deciduous,Broadleaved,40-60,20-35,pyramidal,yellow,white,seed cone,medium
